Stephen Curry, GSW
Chris Paul, HOU
LeBron James, LAL
Russell Westbrook, OKC
Blake Griffin, DET
Gordon Hayward, BOS
Kyle Lowry, TOR
Paul George, OKC
Mike Conley, MEM
James Harden, HOU
Kevin Durant, GSW
Paul Millsap, DEN
Al Horford, BOS
Damian Lillard, POR
DeMar DeRozan, SAS
Chris Bosh, MIA
Jrue Holiday, NOP
Otto Porter, WAS
CJ McCollum, POR
Carmelo Anthony, ATL
Nikola Jokic, DEN
Bradley Beal, WAS
Anthony Davis, NOP
Andre Drummond, DET
Hassan Whiteside, MIA
Andrew Wiggins, MIN
Joel Embiid, PHI
Steven Adams, OKC
Giannis Antetokounmpo, MIL
Kevin Love, CLE
Marc Gasol, MEM
Chandler Parsons, MEM
Harrison Barnes, DAL
Nicolas Batum, CHO
Rudy Gobert, UTA
DeAndre Jordan, DAL
LaMarcus Aldridge, SAS
Serge Ibaka, TOR
Danilo Gallinari, LAC
Aaron Gordon, ORL
Victor Oladipo, IND
Jimmy Butler, MIN
Ryan Anderson, HOU
Kawhi Leonard, TOR
Kyrie Irving, BOS
Jabari Parker, CHI
Zach LaVine, CHI
Tyler Johnson, MIA
John Wall, WAS
George Hill, CLE
Jeff Teague, MIN
Klay Thompson, GSW
Dwight Howard, BRK
Enes Kanter, NYK
Wesley Matthews, DAL
Joakim Noah, NYK
Allen Crabbe, BRK
Goran Dragic, MIA
Kent Bazemore, ATL
Luol Deng, LAL
Evan Turner, POR
Draymond Green, GSW
Tristan Thompson, CLE
Tim Hardaway, NYK
Reggie Jackson, DET
Evan Fournier, ORL
Bismack Biyombo, CHO
Derrick Favors, UTA
Jonas Valanciunas, TOR
Gary Harris, DEN
Andre Iguodala, GSW
Timofey Mozgov, ORL
Pau Gasol, SAS
Ian Mahinmi, WAS
Dennis Schroder, OKC
Clint Capela, HOU
DeMarre Carroll, BRK
Gorgui Dieng, MIN
Trevor Ariza, PHO
Eric Bledsoe, MIL
Ricky Rubio, UTA
Tobias Harris, LAC
J.R. Smith, CLE
James Johnson, MIA
Brandon Knight, PHO
Robin Lopez, CHI
Marvin Williams, CHO
Taj Gibson, MIN
Thaddeus Young, IND
Kenneth Faried, BRK
Tyson Chandler, PHO
Marcin Gortat, LAC
Cody Zeller, CHO
Eric Gordon, HOU
Joe Ingles, UTA
Khris Middleton, MIL
Michael Kidd-Gilchrist, CHO
Mason Plumlee, DEN
Wilson Chandler, PHI
Solomon Hill, NOP
Nikola Vucevic, ORL
Austin Rivers, WAS
Jeremy Lin, ATL
Jordan Clarkson, CLE
Miles Plumlee, ATL
J.J. Redick, PHI
Nikola Mirotic, NOP
Courtney Lee, NYK
